control_id,control_objective,process_area,control_description,control_type,frequency,owner,test_method,test_date,test_result,exceptions_noted,remediation_status,risk_rating,regulatory_reference
CTL-LO-001,Ensure timely delivery of Loan Estimate,Application/Disclosure,LE must be delivered within 3 business days of completed application receipt,Preventive,Per_Application,Loan_Officer,Sample_test_25_files,2025-06-15,Effective,0,N/A,Low,TRID_12_CFR_1026.19(e)
CTL-LO-002,Verify borrower identity and OFAC screening,Application/Compliance,OFAC/SDN screening completed before loan proceeds; results documented in file,Preventive,Per_Application,Processor,Sample_test_25_files,2025-06-15,Effective,0,N/A,Low,BSA_31_CFR_1020
CTL-LO-003,Validate credit report accuracy,Credit/Underwriting,Tri-merge credit report ordered from approved vendor; representative score calculated per policy,Detective,Per_Application,Underwriter,Sample_test_25_files,2025-06-15,Effective,1_minor_-_score_calculation_not_documented,Open_-_Awareness_training,Low,ECOA_Reg_B
CTL-LO-004,Enforce DTI limits per product,Underwriting,Back-end DTI validated against product maximums; exceptions require documented compensating factors and appropriate approval,Preventive,Per_Application,Underwriter,Sample_test_25_files,2025-06-15,Effective_with_Exception,2_-_exception_approval_level_inadequate,Open_-_Policy_clarification,Medium,Safety_and_Soundness
CTL-LO-005,Maintain appraisal independence,Property/Collateral,Appraisals ordered through AMC rotation; no direct LO-appraiser communication permitted,Preventive,Per_Application,Processing_Manager,Sample_test_25_files,2025-06-15,Effective,0,N/A,Low,AIR_Dodd-Frank_1472
CTL-LO-006,Ensure AUS findings are addressed,Underwriting,All AUS conditions reconciled and cleared before CTC; manual underwrite documented when AUS returns Refer,Detective,Per_Application,Senior_Underwriter,Sample_test_25_files,2025-06-15,Effective,0,N/A,Low,GSE_Guidelines
CTL-LO-007,Validate income documentation,Underwriting/Income,Income calculated per SOP using required documentation by employment type; declining income triggers lower figure usage,Detective,Per_Application,Underwriter,Sample_test_25_files,2025-06-15,Effective_with_Exception,3_-_SE_income_calc_method_inconsistent,Open_-_SOP_update_needed,Medium,Safety_and_Soundness
CTL-LO-008,Enforce rate lock procedures,Secondary_Marketing,Rate locks monitored daily; extensions requested minimum 5 days before expiration; extension fees properly disclosed,Preventive,Daily,Secondary_Marketing_Mgr,Review_lock_extension_log,2025-06-15,Effective_with_Exception,4_-_late_extension_requests,Open_-_Process_improvement,Low,Operational
CTL-LO-009,Deliver Closing Disclosure timely,Closing/Disclosure,CD delivered minimum 3 business days before consummation; changed circumstances documented for tolerance violations,Preventive,Per_Application,Closer,Sample_test_25_files,2025-06-15,Effective,1_-_CD_delivered_2_bus_days_prior,Closed_-_Isolated_incident,Medium,TRID_12_CFR_1026.19(f)
CTL-LO-010,Post-close QC review execution,Quality_Control,10% random sample reviewed within 90 days; 100% of exception and EPD loans reviewed,Detective,Monthly,QC_Manager,Review_QC_sample_completeness,2025-06-15,Effective_with_Exception,2_-_QC_reviews_exceeding_90_day_window,Open_-_Staffing_review,Medium,GSE_Guidelines
CTL-LO-011,HMDA data accuracy,Compliance/Reporting,HMDA LAR fields validated at application and action; quarterly reconciliation against Encompass data,Detective,Quarterly,Compliance_Officer,Reconciliation_review,2025-06-15,Effective,0,N/A,Low,HMDA_Reg_C
CTL-LO-012,Fair lending compliance monitoring,Compliance/Fair_Lending,Comparative file analysis quarterly; HMDA data reviewed for prohibited basis disparities monthly,Detective,Monthly/Quarterly,Chief_Compliance_Officer,Review_analysis_reports,2025-06-15,Effective,0,N/A,Low,ECOA_FHA
CTL-LO-013,Exception tracking and escalation,Risk_Management,All guideline exceptions logged in Exception Tracking System with unique ID; proper approval authority obtained per matrix,Detective,Per_Exception,Underwriting_Manager,Sample_test_all_exceptions_in_period,2025-06-15,Effective_with_Exception,2_-_EXC-2024-005_and_EXC-2024-008_logged_unnecessarily,Closed_-_Training_provided,Low,Safety_and_Soundness
CTL-LO-014,Vendor management oversight,Third_Party_Risk,Third-party service providers subject to annual due diligence review; SOC reports collected for critical vendors,Preventive,Annual,Vendor_Mgmt_Office,Review_vendor_due_diligence_files,2025-06-15,Ineffective,3_-_overdue_vendor_reviews_for_AMC_and_title,Open_-_Remediation_in_progress,High,OCC_2013-29
CTL-LO-015,Document retention compliance,Records_Management,Loan files retained per schedule (life of loan + 7yrs); denied applications retained 25 months,Preventive,Annual,Records_Manager,Sample_test_retention_compliance,2025-06-15,Effective,0,N/A,Low,ECOA_Reg_B_12.1
CTL-LO-016,Segregation of duties,Operational,Loan Officers cannot underwrite own originations; processors cannot approve exceptions; funding authorization separate from closing,Preventive,Continuous,COO,Review_system_access_controls,2025-06-15,Effective,0,N/A,Low,Safety_and_Soundness
