qc_review_id,loan_id,review_date,reviewer,sample_type,overall_rating,credit_finding,income_finding,asset_finding,property_finding,compliance_finding,disclosure_finding,closing_finding,exception_finding,total_findings,critical_findings,major_findings,minor_findings,remediation_required,remediation_status,days_to_review
QC-2024-001,MNB-2024-08001,2024-11-10,QC.Analyst.Rivera,Random_10pct,Satisfactory,No_Finding,No_Finding,No_Finding,No_Finding,No_Finding,No_Finding,No_Finding,N/A,0,0,0,0,N,N/A,85
QC-2024-002,MNB-2024-08003,2024-11-15,QC.Analyst.Kim,Exception_Review,Satisfactory_with_Findings,No_Finding,No_Finding,Missing_2nd_month_bank_stmt_pg3,No_Finding,No_Finding,No_Finding,No_Finding,Exception_properly_documented,1,0,0,1,Y,Closed,103
QC-2024-003,MNB-2024-08005,2024-11-18,QC.Analyst.Rivera,Random_10pct,Satisfactory,No_Finding,No_Finding,No_Finding,No_Finding,No_Finding,No_Finding,No_Finding,N/A,0,0,0,0,N,N/A,69
QC-2024-004,MNB-2024-08006,2024-12-02,QC.Analyst.Kim,Exception_Review,Satisfactory_with_Findings,No_Finding,No_Finding,No_Finding,No_Finding,No_Finding,LE_delivery_date_not_documented_in_system,No_Finding,Exception_approval_documented,1,0,0,1,Y,Closed,78
QC-2024-005,MNB-2024-08007,2024-12-10,QC.Analyst.Rivera,Exception_Review,Needs_Improvement,No_Finding,SE_income_calc_used_nonstandard_addbacks,No_Finding,Appraisal_comparable_adjustment_exceeded_25pct_net,No_Finding,No_Finding,No_Finding,Exception_documented_but_comp_factors_vague,3,0,1,2,Y,Open,79
QC-2024-006,MNB-2024-08009,2024-12-15,QC.Analyst.Kim,Random_10pct,Satisfactory,No_Finding,No_Finding,No_Finding,No_Finding,No_Finding,No_Finding,No_Finding,N/A,0,0,0,0,N,N/A,108
QC-2024-007,MNB-2024-08011,2024-12-20,QC.Analyst.Rivera,Random_10pct,Satisfactory_with_Findings,No_Finding,No_Finding,No_Finding,No_Finding,No_Finding,No_Finding,Closing_package_missing_notary_stamp_on_pg12,N/A,1,0,0,1,Y,Closed,71
QC-2024-008,MNB-2024-08014,2025-01-08,QC.Analyst.Kim,Exception_Review,Needs_Improvement,Credit_inquiry_LOE_missing,No_Finding,No_Finding,No_Finding,No_Finding,No_Finding,No_Finding,LTV_exception_-_SVP_approval_obtained_but_CCO_signature_timestamp_unclear,2,0,1,1,Y,Open,98
QC-2024-009,MNB-2024-08019,2025-01-15,QC.Analyst.Rivera,Exception_Review,Satisfactory,No_Finding,No_Finding,No_Finding,No_Finding,No_Finding,No_Finding,No_Finding,Exception_fully_documented_with_strong_compensating_factors,0,0,0,0,N,N/A,101
QC-2024-010,MNB-2024-08020,2025-01-20,QC.Analyst.Kim,Random_10pct,Satisfactory,No_Finding,No_Finding,No_Finding,No_Finding,No_Finding,No_Finding,No_Finding,N/A,0,0,0,0,N,N/A,73
QC-2024-011,MNB-2024-08024,2025-01-28,QC.Analyst.Rivera,Random_10pct,Satisfactory,No_Finding,No_Finding,No_Finding,No_Finding,No_Finding,No_Finding,No_Finding,N/A,0,0,0,0,N,N/A,96
QC-2024-012,MNB-2024-08029,2025-02-05,QC.Analyst.Kim,Exception_Review,Satisfactory_with_Findings,No_Finding,No_Finding,No_Finding,No_Finding,HMDA_race_field_not_captured_at_application,No_Finding,No_Finding,LTV_exception_properly_documented,1,0,0,1,Y,Open,58
