loan_id,decision_date,underwriter,decision,aus_recommendation,manual_underwrite,denial_reasons,conditions_count,ptd_conditions,ptc_conditions,ptf_conditions,exception_required,suspension_count,suspension_reasons,resubmission_required,final_decision_date,days_to_decision,investor_eligible,investor_name
MNB-2024-08001,2024-07-28,U.Chen,Approved_with_Conditions,Approve/Eligible,N,,12,4,6,2,N,0,,N,2024-07-28,3,Y,FNMA
MNB-2024-08002,2024-07-31,U.Chen,Approved_with_Conditions,Approve/Eligible,N,,8,2,5,1,N,0,,N,2024-07-31,2,Y,FNMA
MNB-2024-08003,2024-08-09,U.Patel,Approved_with_Conditions,Approve/Eligible,N,,18,6,9,3,Y,1,Missing_4506C_results,Y,2024-08-14,4,Y,GNMA
MNB-2024-08004,2024-08-08,U.Chen,Approved_with_Conditions,Approve/Eligible,N,,14,5,7,2,N,0,,N,2024-08-08,3,Y,GNMA
MNB-2024-08005,2024-08-14,U.Patel,Approved_with_Conditions,Approve/Eligible,N,,10,3,5,2,N,0,,N,2024-08-14,2,Y,FNMA
MNB-2024-08006,2024-08-19,U.Chen,Approved_with_Conditions,Approve/Eligible,N,,16,5,8,3,Y,1,Appraisal_pending,N,2024-08-22,3,Y,FNMA
MNB-2024-08007,2024-08-28,U.Ramirez,Approved_with_Conditions,Approve/Eligible,N,,22,8,10,4,Y,1,Income_docs_incomplete,Y,2024-09-02,5,Y,Portfolio
MNB-2024-08008,2024-08-30,U.Patel,Denied,Approve/Eligible,N,Employment_gap_>6mo;Unstable_income_pattern,0,0,0,0,Y,2,Employment_verification_failed;Borrower_non-responsive,N,2024-08-30,0,N,
MNB-2024-08009,2024-08-29,U.Chen,Approved_with_Conditions,Approve/Eligible,N,,11,4,5,2,N,0,,N,2024-08-29,3,Y,FHLMC
MNB-2024-08010,2024-08-28,U.Ramirez,Denied,Refer/Caution,Y,AUS_Refer;High_DTI_55.8%;Insufficient_credit_history;Recent_collections,0,0,0,0,N,0,,N,2024-08-28,0,N,
MNB-2024-08011,2024-09-09,U.Chen,Approved_with_Conditions,Approve/Eligible,N,,15,5,7,3,N,1,Title_exception_clearance,Y,2024-09-12,3,Y,FNMA
MNB-2024-08012,2024-09-12,U.Patel,Approved_with_Conditions,Approve/Eligible,N,,19,7,9,3,N,2,USDA_eligibility_verification;Property_rural_designation,Y,2024-09-18,4,Y,GNMA
MNB-2024-08013,2024-09-12,U.Chen,Approved_with_Conditions,Approve/Eligible,N,,9,3,4,2,N,1,Cash_out_seasoning_question,N,2024-09-15,3,Y,FNMA
MNB-2024-08014,2024-09-22,U.Ramirez,Approved_with_Conditions,Approve/Eligible,N,,17,6,8,3,Y,1,LTV_exception_review_pending,Y,2024-09-26,4,Y,FNMA
MNB-2024-08015,2024-09-23,U.Chen,Approved_with_Conditions,Approve/Eligible,N,,13,4,7,2,N,1,VA_COE_pending,N,2024-09-26,3,Y,GNMA
MNB-2024-08016,2024-09-22,U.Patel,Approved_with_Conditions,Approve/Eligible,N,,7,2,4,1,N,0,,N,2024-09-22,2,Y,FNMA
MNB-2024-08017,2024-09-25,U.Chen,Withdrawn,Approve/Eligible,N,Borrower_withdrew_application,0,0,0,0,N,0,,N,2024-09-25,0,N,
MNB-2024-08018,2024-10-05,U.Ramirez,Approved_with_Conditions,Approve/Eligible,N,,17,6,8,3,N,1,Gift_fund_documentation,Y,2024-10-08,3,Y,GNMA
MNB-2024-08019,2024-10-10,U.Patel,Approved_with_Conditions,Approve/Eligible,N,,21,7,10,4,Y,1,Asset_verification_discrepancy,Y,2024-10-14,4,Y,Portfolio
MNB-2024-08020,2024-10-09,U.Chen,Approved_with_Conditions,Approve/Eligible,N,,14,5,7,2,N,0,,N,2024-10-09,3,Y,FNMA
MNB-2024-08021,2024-10-07,U.Ramirez,Approved_with_Conditions,Approve/Eligible,N,,8,2,5,1,N,0,,N,2024-10-07,2,Y,FNMA
MNB-2024-08022,2024-10-18,U.Chen,Approved_with_Conditions,Approve/Eligible,N,,15,5,7,3,N,0,,N,2024-10-18,3,Y,FNMA
MNB-2024-08023,2024-10-18,U.Patel,Approved_with_Conditions,Approve/Eligible,N,,14,5,7,2,N,1,VA_residual_income_calculation,N,2024-10-21,3,Y,GNMA
MNB-2024-08024,2024-10-24,U.Ramirez,Approved_with_Conditions,Approve/Eligible,N,,13,4,7,2,N,0,,N,2024-10-24,3,Y,FNMA
MNB-2024-08025,2024-10-21,U.Chen,Approved_with_Conditions,Approve/Eligible,N,,9,3,4,2,N,0,,N,2024-10-21,2,Y,FNMA
MNB-2024-08026,2024-11-08,U.Patel,Suspended,Refer/Caution,Y,,0,0,0,0,Y,3,AUS_Refer_manual_UW_required;Income_calculation_complex;Derog_credit_explanation,Y,,0,N,
MNB-2024-08027,2024-11-01,U.Ramirez,Approved_with_Conditions,Approve/Eligible,N,,12,4,6,2,N,0,,N,2024-11-01,3,Y,FNMA
MNB-2024-08028,2024-11-08,U.Chen,Approved_with_Conditions,Approve/Eligible,N,,20,7,9,4,N,1,Jumbo_reserve_verification,Y,2024-11-12,4,Y,Portfolio
MNB-2024-08029,2024-11-12,U.Patel,Approved_with_Conditions,Approve/Eligible,N,,16,5,8,3,Y,1,LTV_exception_for_townhouse,Y,2024-11-15,3,Y,FNMA
MNB-2024-08030,2024-11-05,U.Ramirez,Approved_with_Conditions,Approve/Eligible,N,,8,2,5,1,N,0,,N,2024-11-05,2,Y,FNMA
